,news_id,general_category,title,abstract
11,N2830,football,"Giovani Bernard suffers knee injury vs. Ravens, eventually returns","The Cincinnati Bengals lost running back Giovani Bernard to a knee injury during the team's Week 10 game against the Baltimore Ravens. Bernard went to the blue tent in the second quarter and the team quickly ruled him out. They then revised it to a doubtful tag before he unexpectedly made his return in the second half. At the time of the injury, the Ravens had a 28-3 lead and Bernard had turned two carries into 10 yards while serving as the..."
12,N60448,hockey,Perron scores in OT to lift Blues past Flames 3-2,"CALGARY, Alberta (AP) David Perron is making a habit of scoring game-winning goals."
13,N8200,football,"Yardbarker's NFL Week 8 game-by-game analysis, grades","On Monday night, the winless Dolphins lost a 14-0 lead and the game to the Steelers. On Sunday night, shorthanded Kansas City couldn't hold off Green Bay. Here's Yardbarker's Week 8 whip-around."
14,N5319,football,Duluth likely to launch bike-share program,"DULUTH -- Come spring, the city could see an uptick in those pedaling around town thanks to a bike-share program a local nonprofit is hoping to launch. Zeitgeist, an arts and community development organization, is planning to start Duluth's first bike-share system with stations in downtown, Canal Park and Lincoln Park. The group has requested $60,000 from the city's tourism tax dollars and ..."
15,N49926,football,Bears are on a slide and they're melting down over criticism,No abstract available
16,N52177,football,Report: Mason Rudolph was cleared to play against the Chargers by independent neurologist,"In order to fully prepare for Sunday's game, the decision was made to go with Devlin Hodges before Rudolph's availability was known"
17,N64288,basketball,Report: Knicks front office setting the stage for David Fizdale firing,"One Knicks source said the front office is preparing to make Fizdale ""the fall guy"" due to the team's 2-8 start."
18,N28017,football,Detroit Lions QB Jeff Driskel didn't find out he was starting until Sunday morning,"The Lions appeared to have waited until Sunday to make a QB decision, though the timeline is curious."
19,N53056,fighting,Dana White confirms former title challenger Alexander Gustafsson plotting UFC return,No abstract available
20,N23966,fighting,Bellator 232 post-event facts: Saad Awad's loss comes with dubious footnote,"Check out all the facts and figures from Bellator 232, which took place Saturday in Uncasville, Conn."
21,N21114,misc,"De La Salle thumps Kenner Discovery, 58-0",No abstract available
22,N34077,football,Miami Hurricanes News & Notes: Miami travels to Pittsburgh to face the Panthers,Gameday is here and we've got everything you need to know
23,N62851,baseball,"Backs against the wall in the World Series, the Washington Nationals won't go down without a fight","After a rough ride at home, losing all three games, the Washington Nationals, on the brink of elimination, have their backs against the wall yet again..."
24,N8085,misc,Muskegon passes Cedar Springs district test in a rout; East Grand Rapids up next,"GRAND HAVEN, MI   Bob Eacker, the radio voice for the Muskegon High School football team on the Big Red Radio Network, chats with head coach Shane Fairfield for a few minutes before every game to get soundbites for his broadcast. Prior to Saturday's Division 3 district championship game against Cedar Springs, Eacker pointed out to Fairfield that the Big Reds had not allowed a first-quarter ..."
25,N41753,misc,Injury report: Lions-Cowboys dealing with massive injuries,Both squads are beat up.
26,N20954,football,Report: Ohio State asks NCAA to reinstate star DL Chase Young immediately,The NCAA still has not made its final ruling on Young's penalty as the regular season reaches its final weeks.
27,N45825,football,Odell Beckham Jr. Reveals What Bill Belichick Tells Him Before Games,Before the New England Patriots visited the New York Giants back in Bill Belichick had a pregame chat with the Giants' superstar receiver Odell Beckham Jr. Beckham now with the
28,N41710,tennis,Osaka withdraws from WTA finals with shoulder injury,Osaka withdraws from WTA finals with shoulder injury
29,N44430,basketball,WNC high school football: First round playoff matchups,The NCHSAA has released the first round matchups of the football state playoffs.
30,N3939,baseball,Five players you should expect the Twins move on from in 2020,Minnesota's quest for improvement will mean saying goodbye to several players.
31,N12574,football,Taming the pride: Windy City Gridiron picks Bears-Lions,The Bears reunite with a division rival as they try to resuscitate a season.
32,N47566,football,"Vikings' Kearse arrested for DWI, possession of firearm without permit",Vikings safety Jayron Kearse landed in jail on Sunday morning.
33,N11055,football,"Can Alabama, LSU give real meaning to 'Game of the Century'?","LSU and Alabama play in a regular-season 'Game of the Century,' but the last five winners failed to win it all. Will that change this time?"
34,N60618,football,"No. 8 Georgia runs past Florida again, 24-17",Georgia defeated Florida 24-17 in the SEC's Eastern Division playoff here at TIAA Bank Field Saturday evening.
35,N31469,basketball,Paul felt 'stabbed in the back' by trade from Rockets,Chris Paul isn't pleased with the way his time with the Rockets came to an end
36,N34195,hockey,Kings are covering up Taylor Swift banner despite risk of bad blood,Clearly the solution to their problems.
37,N60323,football,H.S. FOOTBALL ROUNDUP: All the scores and highlights from Friday night,"It wasn't easy, but the top-seeded Hingham High football team fended off a spirited upset bid by No. 8 Bishop Feehan in Friday night's Division 3 South Sectional playoff opener. The Harbormen watched the Shamrocks tie the score twice before quarterback Owen O'Brien's 1-yard keeper with 3:08 left finally stood up as the winning touchdown in a 26-19 victory. Hingham (7-1) will host No. 4 Walpole ..."
38,N40717,golf,Who will have an advantage at 'The Challenge: Japan Skins?' Tour caddies dish on what to expect at the new competition,"Ahead of the 'The Challenge: Japan Skins,' we asked the guys who know best the caddies what we should expect from an unknown format"
39,N53795,football,NFL Trade Rumors: Eagles seeking cornerback over wide receiver? Vinny Curry available? And more buzz,The latest ahead of the deadline.
40,N27728,basketball,Portland forward Zach Collins to undergo left shoulder surgery,"Portland Trail Blazers forward Zach Collins will undergo left shoulder surgery, the team announced on Saturday afternoon."
41,N34396,baseball,"Alex Cora, Carlos Beltran Played Key Role in Astros' Sign-Stealing: Report","The Houston Astros are in hot water over allegations of sign stealing. On Tuesday, the Athletic reported that Houston stole signs during home games during their 2017 championship season. According to the report, the Astros set up a camera in center field to zero in on catcher's signs, which were then relayed to batters by having team employees bang on a trash can in the tunnel near the team's dugout. The fallout from the incident could affect..."
42,N15512,misc,"The Day in Sports: Friday, October 18, 2019","The Day in Sports: Friday, October 18, 2019"
43,N59103,football,"A.J. Green to New Orleans Saints at NFL trade deadline makes sense, per CBS' La Canfora",It's believed that A.J. Green could be ready to return to action - if he's not traded - after the Bengals' upcoming bye week.
44,N799,baseball,Nationals 2B Brian Dozier got his start in a Bethesda Summer League,"Brian Dozier will be living out his World Series dreams as 2nd baseman for the Washington Nationals, and it was not too long ago he was a small-town kid with big-time dreams. The Tupelo, Mississippi-native got his start with the Bethesda Big Train, a summer collegiate baseball team that is part of the Cal Ripken Collegiate Baseball League. Dozier joined the league in 2006 as a fresh faced 19-year-old to catch the eyes of scouts. The league plays..."
45,N45318,football,Cardinals Murray named NFC Offensive Player of the Week,Kyler Murray becomes just the second rookie in Arizona Cardinals franchise history to take home the award.
46,N10595,tennis,'I know what the other guy is doing': Federer into 17th Basel quarter-final,"Roger Federer crushed Radu Albot 6-0, 6-3 on Wednesday to win his 22nd match in a row at the Swiss Indoors and earn a quarter-final place at his home event for the 17th time. If Wawrinka beats America's Tiafoe in their second-round match, the Swiss pair will clash on Friday in the quarters."
47,N34517,fighting,"Shamrock scoffs at 'BMF title': You wear gloves, fight once a night","UFC Hall-of-Famer Ken Shamrock shares his opinion on the ""baddest motherf r"" title now held by Jorge Masvidal."
48,N21442,hockey,"Seguin, Benn facing more internal criticism",For the second year in a row the Dallas Stars top duo is being called on to provide more offense.
49,N59316,fighting,"Harris Withdraws From 'Reem Fight, Jones Doubles Reward","Walt Harris withdraws from his Alistair Overeem fight on ESPN as Jon Jones adds to the reward for the location of ""Big Ticket's"" missing daughter."
50,N29584,baseball,WATCH: Even stoic Stephen Strasburg gets down for a dugout dance,"Stephen Strasburg, the team's 31-year-old pitcher and notorious shy guy, has come out of shell this season. The Nationals have celebrated home runs with their dugout dances, ranging from salsa dancing to booty shaking to dabbing. Dugout dances are full of creativity, showcasing the personalities of each player. Someone like Strasburg hasn't had the chance to dance as much as other players, given that home runs aren't as likely for pitchers, not..."
51,N45113,football,5 realistic deals we want to see before the NFL trade deadline,"NFL teams have already been quite busy on the trade market this season, and the Oct. 29 deadline provides one last opportunity for contenders to load up for a playoff push."
52,N58104,fighting,MSAC: Hardy win overturned because he didn't request inhaler before UFC on ESPN 6,The Massachusetts athletic commission explains why it overturned Greg Hardy's win at UFC on ESPN 6.
53,N9346,football,"Steelers Nation, and BTSC, spoke, and it seems the Steelers listened",Changes in strategy (finally) reflect what fans prescribe.
54,N39744,fighting,Waterson after UFC Tampa loss: 'I'm sad and that's OK',"'The Karate Hottie' said after her loss to Joanna Jedrzejczyk that ""moving forward is the only direction we go."""
55,N35612,football,Ohio State's Blake Haubeil pulls off the most perfect onside kick you'll ever see (Watch),No abstract available
56,N14497,football,15-year-old nearly paralyzed after football hit says life is a struggle,The family of a local high school football player partially paralyzed during a game is speaking out.
57,N22546,football,Will Minnesota Vikings and Dallas Cowboys both make playoffs?,"The ""Good Morning Football"" crew discusses whether both the Vikings and Cowboys will make playoffs."
58,N62814,baseball,Stephen Strasburg jokes about security dogs before President Trump's World Series visit,"Stephhen Strasburg joked about the security dogs sweeping the Nationals Park before President Trumps visit. 'I didn't feel comfortable petting."""
59,N18476,golf,Money milestones since Strange first crossed $1 million mark in 1988,"Curtis Strange, in 1988, became the first player to cross $1 million in a Tour season. Here's a look at some money milestones, and every money champ, since then."
60,N56709,basketball,Kansas vs. Duke Basketball Highlights (2019),"The No.4 Duke Blue Devils took care of business in a narrow victory over No.3 Kansas, 68-66."
61,N4409,football,'We're supposed to be 9-0' Fans react to nail-biting Monday Night Football game between 49ers and Seahawks,No abstract available
62,N53475,basketball,ASK IRA: Is the over/under 0 for Waiters' Heat appearances this season?,"Q: Too much drama. Possibly lost games because Dion Waiters wasn't available. How do you get to this point? How about a resolution, some apologies and play ball? Is there a mediator in the house? Do you think the hard position will backfire? How does this dovetail with Adam Silver's softer approach to dealing with players? -- Stuart. A: The way this has been related to me, this was more like ..."
63,N26638,fighting,Ngannou to Volkov after UFC Moscow: Don't turn this down again,Former UFC heavyweight title challenger Francis Ngannou wants Alexander Volkov next.
64,N34014,football,Souhan pregame: Washington rookie McLaurin will be a handful for Vikings defense,"Here's what I'm watching for tonight, as the Star Tribune blanket-covers the Washington-Vikings game tonight at U.S. Bank Stadium: Washington's defense is not bad. Ryan Kerrigan, Josh Norman and Landon Collins are quality players and the defense is not what got Jay Gruden fired. On offense, though, Washington is limited. Coach BIll Callahan loves running the ball and tonight he is likely to ..."
65,N24366,football,Michigan's Jim Harbaugh questions 'interesting' officiating calls in loss to Penn State,Michigan coach Jim Harbaugh questioned some calls that went against the Wolverines in a 28-21 loss at No. 7 Penn State.
66,N50022,basketball,Warriors' Stephen Curry undergoes surgery on injured hand,No abstract available
67,N13307,misc,John Cena reveals why he was bullied as a kid growing up in Mass.,Turns out the WWE superstar wasn't always the big man on campus.
68,N37631,basketball,Spurs rounding into form with regular-season opener only days away,"SPURS PRESEASON SCORES, SCHEDULE Oct. 5: Orlando Magic 125, Spurs 89, AT&T Center Oct. 8: Miami Heat 107, Spurs 89, Miami Sunday: New Orleans Pelicans 123, Spurs 114, AT&T Center Wednesday: Spurs 128, Houston Rockets 114, Houston Friday: vs. Memphis, 7:30 p.m., AT&T Center SAN ANTONIO   If the Spurs were thespians, Friday night's gathering at the AT&T Center would be their dress rehearsal before the start of a long engagement. Coming off their..."
69,N42751,football,Chiefs vs. Titans: Second half discussion,No abstract available
70,N7366,misc,"'I've always played the sport': Adopted, 6-foot-5 eighth grader born in Jamaica leads JV basketball team","A Triad eighth grader born in Jamaica is a rising basketball prospect. Enoch Ferry, who is 6 feet, 5 inches tall, is 13 years old and attends Salem Baptist. Sign up for our Newsletters Ferry's story is unique. He was adopted by the Ferry family, who brought him to the U.S. after they served at an orphanage on a missions trip. Ferry has had a basketball in his hand from the beginning. Now, he's leading Salem Baptist's JV basketball team as a..."
71,N5235,basketball,Former Villanova guard Jahvon Quinerly's appeal to play for Alabama this season is denied,"The appeal by former Villanova point guard Jahvon Quinerly to play this season at Alabama has been denied, as the NCAA ruled against his request of a hardship waiver. He will now sit out the 2019-20 season. Quinerly committed to Villanova in 2018 and was a five-star recruit and the No. 7 point guard in the class, according to 247Sports. He was Villanova's highest-ranked signing, and the first ..."
72,N59318,football,Bill Belichick responds to Demaryius Thomas calling trade to Jets 'disrespectful',"Thomas bashed Belichick and the Patriots for dealing him on Sept. 10, less than two weeks after he agreed to re-sign with the team after it released him on cutdown day."
73,N23227,football,"Vikings, Chiefs both await word on whether Patrick Mahomes plays","The Chiefs aren't the only ones who hope Patrick Mahomes plays against Minnesota on Sunday. Vikings counterpart Kirk Cousins does, too. Sign up for our Newsletters ""At the end of the day, I just want to see players healthy, out on the field. You want to play against their best,"" Cousins said. ""You don't necessarily want free passes on anything."" Then again, Cousins isn't the one who would be tasked with slowing down the league's MVP on Sunday...."
74,N55348,football,Frank Reich: Colts left Quincy Wilson inactive against Broncos due to depth of roster,"Wilson had been averaging 18.2 snaps per game this season, but the Colts went with rookie Marvell Tell on Sunday."
75,N22121,football,Friday night highlights: Emilee Buhl makes history,"Willis sophomore Emilee Buhl made history Friday as the first female to make it through the program and onto the varsity squad   and she's not a kicker, she's a quarterback. The JV signal caller was added to the roster before the Wildkats' final home game against Tomball, according to a Tweet from high school sports radio broadcaster Dave Fanucchi. ""It was an amazing experience and it only motivates me more to keep playing and make the varsity..."
76,N25796,golf,Woods to play upgraded Genesis Invitational,Tiger Woods confirmed on Tuesday he will play in next year's Genesis Invitational tournament in Los Angeles as the event showcases its elevated status for the first time.
77,N19376,basketball,The HoopsHype Daily: Trae Young putting up monstrous numbers,No abstract available
78,N46658,football,College football Week 9 picks against the spread for every top-25 matchup,Sporting News' picks against the spread for every top-25 matchup in college football's Week 9 slate.
79,N31496,basketball,Pistons exercise 2020-21 option on Luke Kennard,"The Detroit Pistons exercised their option for the 2020-21 season on Luke Kennard, the team announced on Thursday. The move was a formality. Kennard, who is entering his third season, has proven to be a key part of the team's future. He is slated to earn $5.3 million next season. Kennard, 23, the 12th overall pick in 2017 out of Duke, has averaged 8.6 points, 2.6 rebounds and 1.8 assists in ..."
80,N7003,baseball,Solomon: Winning merely a part of Verlander's routine,Justin Verlander likes things a certain way. Tension builds within as a start approaches.
81,N6666,baseball,Arizona Diamondbacks unveil new uniforms for 2020 MLB season,"The Diamondbacks are making more changes to their uniforms, moves that further walk back the radical designs they unveiled four years ago."
82,N61438,football,Inside the Ravens' Heisman package,"The Baltimore Ravens' diverse offensive personnel allows them to run a unique play featuring three former Heisman Trophy winners in their backfield. It's been dubbed the Heisman Package, which the Ravens unveiled Sunday during a 49-13 blowout win over the Cincinnati Bengals. The triple-option play involves quarterback Lamar Jackson, backup quarterback Robert Griffin III and running back Mark Ingram. Against the Bengals, Jackson adeptly executed..."
83,N19516,basketball,This is the 2019-20 Butler basketball schedule,The Butler Bulldogs are coming off an NIT season as LaVall Jordan enters his third year as coach
84,N59623,football,No Cotton Bowl for Appalachian State. Mountaineers have 13-game win streak snapped,"BOONE -- Georgia Southern used a relentless running game to hand 20th-ranked Appalachian State its first loss of the season in a 24-21 Sun Belt Conference defeat at Kidd Brewer Stadium. The loss broke a 13-game winning streak for the Mountaineers (7-1, 4-1 Sun Belt), which stretched to last season and had only been exceeded nationally by Clemson (23) and (14). Losing to the Eagles ..."
85,N14878,basketball,'Too naive to know any different': A Q&A with Winthrop's Pat Kelsey before ETSU game,"ROCK HILL -- Ahead of the Winthrop men's basketball team's road contest against East Tennessee State on Thursday night, The Herald sat down with head coach Pat Kelsey. In the interview, Kelsey recapped his team's eventful road trip -- and offered a theory for how his team, one riddled with inexperience and youth, has been able to make history so early. The short answer to the latter ..."
86,N51413,football,"Leonard Fournette, Jags' locker-room share their thoughts towards Jalen Ramsey trade","The Jags locker-room will miss Jalen Ramsey, but understand they have to move on."
87,N26524,basketball,"Spurs can't pick up win on Parker's night, fall to Grizzlies","The Spurs wanted to win for Tony Parker. It was his night. It just didn't happen. Despite multiple comebacks, the Spurs fell 113-109 to the Memphis Grizzlies on Monday at the AT&T Center. Regardless, the team honored the 37-year-old Parker in a ceremony following the Spurs' game against Memphis, raising his No. 9 to the rafters for posterity. In 18 seasons, Parker scored 18,943 points, dished out a club-record 6,829 assists, had six All-Star..."
88,N12494,baseball,12 burning questions for Nationals-Astros World Series,The 2019 World Series promises plenty of intrigue.
89,N44852,football,Minshew had Jaguars' owner Khan hooked from their first encounter,"It didn't take Jaguars' owner Shad Khan long to get caught up in Gardner Minshew mania. He was sold on his rookie quarterback from their first meeting at the NFL Combine in February. Khan laughs at the memory because, initially, Minshew thought he was one of the Jaguars' coaches. ""So all of a sudden, I said, 'OK, wow, this guy thinks I know a lot more than I do.' "" Fast forward to the midway point of the 2019 season   the Jaguars are 4-4..."
90,N19759,basketball,Louisville basketball rolls in season-opening win at Miami,It was a shaky start but a fantastic finish for Louisville basketball Tuesday as the Cardinals throttled host Miami to start the season with a win.
91,N48602,misc,"Person shot in south Charlotte, part of road closed for investigation",No abstract available
92,N14800,football,Alabama says it won't punish students who boo Trump at LSU game,President Trump is expected to attend Saturday's LSU-Alabama game after going to Game 5 of the World Series two weeks ago and UFC 244 last weekend.
93,N49456,football,Kelly Stafford details recovery from brain surgery in ESPN essay,"Six months after Kelly Stafford underwent brain surgery, she and husband, Detroit Lions quarterback Matthew Stafford, sat down with ESPN"
94,N20666,basketball,"Treasure Hunt, Erin Toller among three Kentucky women's basketball signees","Erin Toller of Sacred Heart and Treasure Hunt of Chattanooga, Tennessee, headline Kentucky women's basketball's 2020 class."
95,N43755,soccer,Atlanta United Report Cards: Darlington Nagbe,A sad recap of an amazing season.
96,N59721,misc,Mike Francesa Leaving WFAN Afternoon Drive Again,"Mike Francesa's days doing afternoon drive for WFAN are numbered, and he announced today the end is in sight again: Mike Francesa: ""I am leaving afternoon drive this December. Details to come."""
97,N40113,basketball,Michigan basketball lands 5-star Isaiah Todd as Juwan Howard makes first big splash,"Juwan Howard and Michigan basketball made a big splash on the recruiting trail Thursday, landing 5-star forward Isaiah Todd."
98,N64017,misc,Fraternal organization repairs vandalized historical landmark plaque in San Francisco,No abstract available
99,N21591,football,"Bolting LA? Spanos, Chargers Deny Reported Plans To Relocate To London","The NFL says in a statement to CBSLA that ""no consideration has been given to the Chargers playing anywhere other than Los Angeles."""
100,N47520,football,Ranking the College Football Teams Most Likely to Enter December Unbeaten,Seven undefeated teams remain after Week 10. The post Ranking the College Football Teams Most Likely to Enter December Unbeaten appeared first on Stadium.
101,N48637,golf,Rory Scovel can't get enough golf (no kidding),Golf is a dark comedy and obsession for the comedian.
102,N55478,hockey,Pressure mounting on Devils to make decision on star Hall,"Devils GM Ray Shero has to convince the team's biggest star, 2017-18 Hart Trophy winner Taylor Hall, that New Jersey is a good place to be for the long term."
103,N6871,basketball,Spurs hope for same Derrick White in new role,"It wasn't an intervention. That would have been too strong a word. But when Spurs guard Derrick White followed a rough preseason with a nondescript first two games of the regular season, he definitely heard about it. One by one, several teammates approached him before the start of Monday's 113-110 victory over Portland, all bearing the same message that was part encouragement and part cajoling. ""A couple of guys came and talked to me, saying..."
104,N19390,baseball,"World Series umpires, MLB step back into spotlight after hotly debated call",Washington manager Dave Martinez went nuclear after a controversial call threatened to crush a Nats rally.
105,N57267,basketball,"Whicker: Raptors short on bodies, long on heart as they derail Lakers",The Lakers found out that the Raptors again are a nightmare sight for the NBA personnel directors who somehow didn't draft them.
106,N22691,basketball,Trey Burke confident he can help Sixers if called upon | Off the Dribble,"DENVER -- Good morning, people. If the 76ers are anything like me, they're ready to head home. Life on the road is cool, but it can become tiresome. And this four-game trip stretched over eight days has had several additional storylines. Joel Embiid was suspended for the first two games for fighting Minnesota Timberwolves center Karl-Anthony Towns on Oct. 30. He returned Monday against the ..."
107,N47676,basketball,Kansas AD Jeff Long apologizes for Snoop Dogg performance at 'Late Night in the Phog',"Kansas AD Jeff Long apologized after Snoop Dogg delivered a NSFW performance at the Jayhawks' ""Late Night in the Phog"" preseason event."
108,N64060,football,"Colts Final Injury Report for Week 9: Hilton out, Desir is doubtful, Willis full-go for second straight day",No abstract available
109,N39060,hockey,'We're Supposed To Be Past This:' Post About Allegedly Racially Charged Incident At Buffalo Wild Wings Goes Viral,A social media post about an allegedly racially-charged incident at a Buffalo Wild Wings in Naperville has gone viral on Facebook.
110,N3667,football,Prospects for Jags fans to watch: Oregon State WR Isaiah Hodgins,Is Oregon State WR Isaiah Hodgins a potential target for Jacksonville and what does Hodgins bring to the table at the next level though?
111,N7512,football,Arizona Cardinals agree to trade for Kenyan Drake from Miami Dolphins,The Arizona Cardinals have agreed to a trade for Miami Dolphins running back Kenyan Drake.
112,N41990,football,NFL trade deadline predictions: What will the Lions do?,We give our best guess as to what happens on Tuesday before 4 p.m. ET.
113,N9657,football,Brevin Jordan not at Miami Hurricanes practice; Evidence Njoku off the roster,"Miami Hurricanes sophomore tight end Brevin Jordan was not at UM practice on Tuesday on the team's bye week after missing Saturday's 52-27 win over Louisville. Jordan was in a walking boot on his left foot and using a crutch to support his right side when walking on Saturday at Hard Rock Stadium. Heading into Saturday, Jordan had been labeled as a game-time decision by coach Manny Diaz and ..."
114,N31959,misc,Silver Alert issued for missing Winston-Salem woman,No abstract available
115,N8423,football,Steelers RB James Conner ruled out of Thursday night's game due to shoulder injury,"Pittsburgh Steelers running back James Conner has been ruled out of Thursday night's game against the Cleveland Browns due to a shoulder injury. According to Pittsburgh Steelers Director of Communications Burt Lauten he has been taken to the locker room to be evaluated. Sign up for our Newsletters In addition, Steelers wide receiver JuJu Smith-Schuster was ruled out from Thursday night's game after suffering a concussion in the second quarter...."
116,N803,baseball,It's time for MLB to institute a pitch clock,Games are getting ridiculously long.
117,N47773,football,Doug Pederson calls on Eagles' supporting cast to produce against the Patriots,"It can't just be the Zach Ertz Show. As his 5-4 team prepares to host Bill Belichick and the Patriots on Sunday, Doug Pederson, who protects his players like the Secret Service, called out his well-paid, underperforming offensive and defensive weapons. The class of the NFL is coming to town, so put up or shut up. If, as expected, Belichick targets the team's Pro Bowl star tight end and ..."
118,N62534,football,"Arizona State, Florida football schedule home-home series","Arizona State and Florida have scheduled a football home/home series, but you are going to have to wait a while for the games."
119,N38071,football,"With Steelers QBs dropping like flies, the emergency QB is...Ryan Switzer","The Pittsburgh Steelers have a plan in place if both Devlin Hodges and Paxton Lynch go down, but the hope is it doesn't have to get to Ryan Switzer at QB."
120,N16534,fighting,Thomas Gifford released by the UFC following knockout loss in Tampa,Thomas Gifford is no longer under contract with the UFC.
121,N8763,baseball,3 Free Agents the Yankees Should Avoid This Offseason,"The Yankees fell just a couple games short of making their first World Series since 2009 this year, and they'll assuredly be back for more in 2020. With their core intact and plenty of money to spend, there's a good chance they'll make a splash or two in free agency this offseason. They just need to avoid making the mistake of signing any of these guys."
122,N15202,football,Are Bears planning a Cody Whitehair-James Daniels position switch vs. Lions?,"As the Chicago Bears prepare to face the Detroit Lions in a divisional Week 10 matchup, there are some changes expected on both offenses. Not only are the Lions going to be without starting quarterback Matthew Stafford, who has been ruled out with back and hip injuries, but the Bears appear to be making a change on the offensive line. During warmups, Cody Whitehair was seen practicing snaps in the end zone, indicating that we could see him move..."
123,N59644,football,Report: Antonio Brown not expected to play again this season,"Three teams have reportedly shown interest in the star wide receiver and been in contact with him, but the NFL is still investigating Brown."
124,N22983,football,Which QB will be most exciting to watch in Week 7?,"The ""Good Morning Football"" crew reveals which quarterback they are most excited to see in Week 7."
125,N34297,football,Winless Bengals are double-digit underdogs for roadtrip vs. Raiders,"Oddsmakers don't exactly think the Cincinnati Bengals will pick up their first win of the season on the road in Week 11 against the Oakland Raiders. Fresh off a 49-13 loss to the Baltimore Ravens, the Bengals hit the road as 10.5-point underdogs against those Raiders, according to BetMGM. No great surprise here. Lamar Jackson might be an MVP candidate, but the Ravens quarterback running wild on the Bengals was merely the latest disaster for the..."
126,N11174,football,Winners and Losers after the Steelers' huge win over the Chargers in Week 6,"After every game there are players who play well, and those who don't. This is where the 'Winners and Losers' column comes from."
127,N50769,football,The Splash Zone 10/23/19: Mark Walton Moving On Up,"Welcome to the Splash Zone, the quickest way to get your day started off right. We bring you a rundown of Miami Dolphins news from the last 24 hours."
128,N25375,football,Bhayshul Tuten's ground game carries Paulsboro past Glassboro in a South Jersey Group 1 quarterfinal,"When he wasn't running, he was limping between plays on the sideline. He labored just to get on and off the field. And after the game, after his teammates were gone and celebrating, Bhayshul Tuten laid on a trainer's table getting treatment on a severely cramped left leg and injured toe. He could barely walk. But, somehow, he could run. Tuten carried the ball 23 times for 85 yards just in the ..."
129,N44837,football,Week 9 observations: Writing off Oklahoma as College Football Playoff contender ridiculous,"Oklahoma's loss was the most significant result of Week 9, but it's ridiculous to suggest the Sooners are out of the College Football Playoff race."
130,N25995,football,"Boomer Esiason: Bengals, LSU quarterback Joe Burrow could be on collision course","Boomer Esiason: ""For the Bengals, this is about the future. And the way that Joe Burrow played ... I think he solidified his No. 1 overall ranking."""
131,N63267,football,Huskies' offense looks to carry momentum into matchup with Pac-12's top defense,"SEATTLE -- Something happened at halftime of Washington's 51-27 victory over Arizona last week. It was like a switch flipped. All of a sudden a struggling offense -- one that couldn't reach the end zone even after starting a drive from inside the Wildcats' 10-yard line -- looked nearly unstoppable. After the game, UW's players and coaches said the difference wasn't anything major. ..."
132,N61445,football,James Conner leaves end of Steelers' MNF game with injury,"While the extent of the injury is unclear, it leaves the Steelers dangerously thin at running back as Benny Snell also left Monday's game against the Dolphins."
133,N21438,football,"Texas, OU called for unsportsmanlike conduct 30 minutes before kick","DALLAS   The clusters of players for No. 6 Oklahoma and 11th-ranked Texas were getting closer at midfield 30 minutes before the annual Red River rivalry, and officials were already trying to separate them when a few got too close and started jawing at each other. Referee Mike Defee flung his flag high in the air and announced penalties on every player for unsportsmanlike conduct. Defee was just getting started with his warning that any..."
134,N32754,baseball,Dave Martinez has great comment about his health after Nats win,Dave Martinez underwent a heart procedure in September.
