,news_id,general_category,title,abstract,text,tfidf_vector,sbert_vector,openai_vector
10,N13544,football,Open thread: Is Matt Patricia on the hot seat?,The Lions are all but eliminated from postseason contention.,Open thread: Is Matt Patricia on the hot seat? The Lions are all but eliminated from postseason contention.,"[0.043176205366887106, -0.11298421069751491, -0.055316063717601026, 0.10919428047956883, 0.07665428544376078, -0.06588303309941275, -0.016109261782961917, 0.21338138954805322, -0.1964585837553638, -0.07201124725612294]","[-0.2772388756275177, -0.07739792764186859, 0.12209342420101166, 0.11195620894432068, -0.2028447538614273, -0.04313233494758606, -0.08468922972679138, 0.14636249840259552, -0.016758626326918602, 0.08055640757083893]","[0.22960402920046816, -0.18225088867223957, -0.10744639148157763, -0.0013905771174266529, 0.03884193032600122, 0.044941388648833035, 0.19848767550713467, -0.02391486120075418, -0.07486762619634875, 0.1044872540853971]"
11,N18913,baseball,"Babe Ruth's bat used for 500th homer, owned by Rockland family, hits auction block","In the mid-1940s, Ruth gave the bat to his friend Jim Rice, who was mayor of Suffern.","Babe Ruth's bat used for 500th homer, owned by Rockland family, hits auction block In the mid-1940s, Ruth gave the bat to his friend Jim Rice, who was mayor of Suffern.","[-0.030720718617837657, 0.03279245774951741, -0.006884461559689062, 0.003132408459705449, 0.011965102684955244, -0.02507907119825824, 0.005016963671405649, -0.01291645664758017, -0.0289991155899041, 0.009911948036467898]","[0.24634763598442078, -0.19483324885368347, 0.13655617833137512, 0.1943134218454361, 0.11389777809381485, 0.05922973155975342, 0.16719290614128113, -0.19800256192684174, 0.17033720016479492, -0.03924378752708435]","[0.048516696206287235, 0.3320821224583348, -0.03654772908584059, -0.22539196936116676, -0.09471577458230593, 0.03460984544674077, -0.0176025723992108, -0.15725253525950728, 0.06588004297846176, -0.13849036694908634]"
12,N38381,misc,2020 College Soccer Signing Tracker,National Signing Day kicked off the 2020 college soccer signing season on November 13,2020 College Soccer Signing Tracker National Signing Day kicked off the 2020 college soccer signing season on November 13,"[-0.07113384835349564, -0.0042488012300932005, -0.01781331703455264, -0.13067874655970219, 0.009652032631901012, -0.049240814895940344, 0.013642229837506006, -0.01583095242175815, -0.016459154324454175, 0.12445550413374826]","[0.1159343346953392, 0.007776808924973011, -0.2843882441520691, 0.009256759658455849, -0.08876089006662369, 0.19795766472816467, -0.04058931767940521, -0.034690964967012405, -0.05994339659810066, -0.027075553312897682]","[-0.17307437659459501, 0.08722329298049143, 0.13798500638421476, -0.07712808065517296, 0.22118600770544733, -0.05908416558745084, 0.11209295463624873, -0.08839499671744395, 0.08771344830719303, -0.0649519722437477]"
13,N50470,football,Patriots Practice Notes: Perfect Attendance At Rainy Halloween Session,FOXBORO Mass. -- Every New England Patriots players was present and accounted for Thursday at the team's penultimate practice of Week . The Patriots had perfect attendance at the rainy,Patriots Practice Notes: Perfect Attendance At Rainy Halloween Session FOXBORO Mass. -- Every New England Patriots players was present and accounted for Thursday at the team's penultimate practice of Week . The Patriots had perfect attendance at the rainy,"[0.2164400263304951, 0.30797934018296874, 0.01506921450215916, -0.007036551966991136, -0.12023183576138154, -0.02290080863088745, -0.0018728694146971571, 0.109679607458325, 0.10736680760234461, -0.002325283950468632]","[-0.12384365499019623, 0.08016815781593323, 0.15408751368522644, 0.017327336594462395, 0.148548424243927, 0.011045494116842747, -0.1370507925748825, -0.20732006430625916, 0.02885691449046135, 0.00262783863581717]","[0.17447686653763553, -0.10303069464228204, 0.04657303390628774, -0.040580424270521206, -0.04845582143379773, -0.08448879324212348, -0.07805603928151217, -0.13244139262876753, 0.0621391285062928, -0.0933498445421576]"
14,N25797,basketball,"Thunder: Both spurned by Paul George, Thunder and Pacers face off with strong replacements","On Tuesday, Paul George's two exes meet: Oklahoma City and Indiana. Both teams have been dumped by the six-time All-Star in the last three years. He's now with the one that got away, Los Angeles (although that metaphor works better for the city than the Clippers specifically). By the time Paul left OKC, he and his agent had figured out how to help facilitate a clean break. The split ...","Thunder: Both spurned by Paul George, Thunder and Pacers face off with strong replacements On Tuesday, Paul George's two exes meet: Oklahoma City and Indiana. Both teams have been dumped by the six-time All-Star in the last three years. He's now with the one that got away, Los Angeles (although that metaphor works better for the city than the Clippers specifically). By the time Paul left OKC, he and his agent had figured out how to help facilitate a clean break. The split ...","[-0.04523528755983588, 0.007660203759634606, -0.018195199013156915, -0.012509976132628803, 0.04149965795580524, -0.0010981913636572767, -0.011432654127386636, -0.059059114250869994, 0.005824953328291972, -0.0579020462153065]","[0.23225167393684387, -0.07299354672431946, 0.23767952620983124, -0.4070397913455963, -0.06234676390886307, 0.12641271948814392, -0.030472973361611366, -0.01615731231868267, 0.08470291644334793, -0.04186681658029556]","[-0.04154258225780496, 0.15012203313271785, -0.10174966125828104, 0.23422756240242187, -0.1499524292231459, 0.027974911291977485, 0.03215457489469639, -0.017886119320966582, -0.061415297049367094, 0.04525594329842106]"
15,N50858,football,Kirk Cousins is playing at an MVP level. Here's why it won't last.,"The Vikings are getting the good version of Good Kirk Cousins right now, but Bad Kirk Cousins could make a return very soon.","Kirk Cousins is playing at an MVP level. Here's why it won't last. The Vikings are getting the good version of Good Kirk Cousins right now, but Bad Kirk Cousins could make a return very soon.","[-0.014743836183470865, 0.012024279624379599, -0.004933347727066361, 0.019352240411546023, 0.04484146977709291, 0.032474017349596374, 0.0314777268995454, -0.04706800520321094, -0.024884402047385998, -0.012908303383530485]","[-0.30072060227394104, -0.09585262835025787, 0.06672608852386475, -0.17624926567077637, -0.033177148550748825, 0.022627143189311028, 0.12527671456336975, 0.11813954263925552, -0.033732108771800995, 0.05205187574028969]","[0.08819284676189608, -0.07038292054750413, -0.15220126642657497, 0.049817018530599395, 0.10660327923984825, -0.07919233637670782, -0.05348858676267938, 0.08500275865078406, 0.005864180666362307, 0.07041809688647321]"
16,N54237,football,Tom Brady Admits He's Still Not Over Super Bowl Loss to Eagles,"The last time the Patriots faced the Eagles was Super Bowl LII when Tom Brady threw for 505 yards, but still lost the game, 41-33. With the two teams meeting again this week, the game will be a topic over the course of the week and Brady was asked Monday morning on The Greg Hill Show how long it took for him to get over the loss? ""You assume I'm over it? Come on now,"" Brady said. ""That's a lot of mental scar tissue from that year. That was a...","Tom Brady Admits He's Still Not Over Super Bowl Loss to Eagles The last time the Patriots faced the Eagles was Super Bowl LII when Tom Brady threw for 505 yards, but still lost the game, 41-33. With the two teams meeting again this week, the game will be a topic over the course of the week and Brady was asked Monday morning on The Greg Hill Show how long it took for him to get over the loss? ""You assume I'm over it? Come on now,"" Brady said. ""That's a lot of mental scar tissue from that year. That was a...","[0.20753111533349328, 0.213453650963355, -0.018265683125822607, 0.11402934846554166, -0.24490200299836362, 0.06940083679130886, -0.0102614293088537, 0.09175648890343106, 0.05648472830227327, -0.020124505207786914]","[-0.2594465911388397, -0.04189436510205269, 0.21387137472629547, -0.011578009463846684, 0.1469215303659439, -0.29312747716903687, -0.13663148880004883, 0.011837229132652283, 0.11090346425771713, 0.30578964948654175]","[0.15272351273667378, -0.07314377286929508, -0.03293451865735635, -0.08022807922990785, -0.22686368032332904, 0.22964665337547016, -0.2616588912272399, -0.029255758998109796, -0.09908035357700186, 0.052720008458372186]"
17,N38836,hockey,"Sharks score first four goals, then hold off Wild","Thursday was the kind of game a lot of the Sharks needed. As did the team itself. San Jose scored four goals in the first period then held on for dear life to beat Minnesota 6-5 at SAP Center. The Sharks have strung consecutive victories together for the first time since winning three straight Oct. 10-16. And their latest victory included flashes of dominance ... before the team surrendered three late goals to make life hard on itself. ""There's...","Sharks score first four goals, then hold off Wild Thursday was the kind of game a lot of the Sharks needed. As did the team itself. San Jose scored four goals in the first period then held on for dear life to beat Minnesota 6-5 at SAP Center. The Sharks have strung consecutive victories together for the first time since winning three straight Oct. 10-16. And their latest victory included flashes of dominance ... before the team surrendered three late goals to make life hard on itself. ""There's...","[-0.055666618307922466, -0.021890994532835578, 0.002163496744589177, 0.01028380337618349, -0.055274104988244, 0.04711952901690973, -0.009791351856573854, -0.055631062048977595, -0.0329720077099242, -0.049189893880878036]","[0.22986948490142822, 0.19336605072021484, 0.3042606711387634, 0.02263033390045166, 0.0733400359749794, -0.04890098050236702, 0.05721317604184151, -0.039570052176713943, -0.2401583045721054, 0.2088264375925064]","[-0.2049509599067111, -0.1897084561407995, -0.13552169329096952, -0.014677082683954018, -0.12243724658625486, 0.0435474673701276, 0.017789450496469603, 0.08103139612075538, 0.08938544336188081, -0.05169250685726725]"
18,N18939,basketball,"Charles Barkley: 'At this point, Kawhi's a better player than LeBron'",TNT Analyst Charles Barkley said Kawhi Leonard is a better player than LeBron James.,"Charles Barkley: 'At this point, Kawhi's a better player than LeBron' TNT Analyst Charles Barkley said Kawhi Leonard is a better player than LeBron James.","[-0.08913342277410173, 0.027754596699923296, -0.03747897266770917, -0.09151611532036565, 0.13374463667131256, 0.08830828501411891, -0.05170559487955691, 0.09965039484901879, 0.05777026336242091, -0.03772843417912723]","[0.09222769737243652, -0.10879746079444885, 0.10863347351551056, -0.27633053064346313, 0.05179375410079956, -0.11549047380685806, 0.05827518180012703, 0.2093009352684021, 0.2234797477722168, 0.00015841919230297208]","[-0.06949882513798354, 0.18254702945183568, -0.08397286984063528, 0.18377866394928552, -0.04686571067304017, 0.0021982231252984353, -0.18921915877542309, -0.028718024306267114, -0.2614148198368395, 0.033988763622584045]"
19,N60740,basketball,The Denver Stiffs Show - The Nuggets aren't good when they're hungry,"On Halloween, the problems the Nuggets are facing can be quite frightening","The Denver Stiffs Show - The Nuggets aren't good when they're hungry On Halloween, the problems the Nuggets are facing can be quite frightening","[-0.031505881687917424, 0.006724713496520783, -0.028630030032625143, 0.0003671057628151807, 0.04222725037780664, 0.025415074073677116, 0.02845848008815405, -0.025073507559228003, -0.04710925936579824, -0.05430254551935102]","[0.14102157950401306, 0.022861860692501068, 0.23844844102859497, -0.2431277483701706, -0.07770849019289017, -0.0034072708804160357, -0.14311181008815765, -0.1816578060388565, -0.06252868473529816, -0.03409303352236748]","[-0.053611056243760655, -0.08259088523428598, -0.2228744433329494, 0.21316268593516735, -0.10726280695563496, 0.04451313352964927, 0.2201868237705934, 0.12018660968160741, -0.06749253215394775, 0.04201478161008077]"
20,N64130,outdoors,ON THE GUN: Browning X-Bolt Max Long Range,"Browning's new X-Bolt Max Long Range checks all the boxes for an affordable, long-range hunting rig: it's super accurate, runs flawlessly, it's heavy but still handy, and it costs just a little more than $1,000.","ON THE GUN: Browning X-Bolt Max Long Range Browning's new X-Bolt Max Long Range checks all the boxes for an affordable, long-range hunting rig: it's super accurate, runs flawlessly, it's heavy but still handy, and it costs just a little more than $1,000.","[-0.008508470338437369, 0.060206249321727426, -0.027251393364310275, 0.007697490165041599, -0.011922824327096035, 0.001670421816401829, 0.001974691685550864, -0.016039343233413435, -0.014892637131328715, -0.006284159292593678]","[0.13072754442691803, -0.021060368046164513, -0.0469382144510746, -0.0011207149364054203, 0.052726320922374725, 0.012563507072627544, -0.09652076661586761, 0.07404560595750809, 0.261112242937088, -0.09201833605766296]","[-0.06763787689466826, 0.139523793319627, 0.05579657981608454, -0.1486730240337455, 0.025852707164988636, 0.005110182337181113, 0.020893363375606044, -0.07175419806489966, -0.052686331456506516, -0.14067603433007722]"
21,N55018,football,NFL Odds: Here's Why Expert Picks Eagles In Week 11 Game Vs. Patriots,https://www.dailymotion.com/embed/video/x o f Dave Weaver seems certain the Philadelphia Eagles won't let the New England Patriots fly beyond their reach. The sports-betting expert predicts the Eagles will cover the spread,NFL Odds: Here's Why Expert Picks Eagles In Week 11 Game Vs. Patriots https://www.dailymotion.com/embed/video/x o f Dave Weaver seems certain the Philadelphia Eagles won't let the New England Patriots fly beyond their reach. The sports-betting expert predicts the Eagles will cover the spread,"[0.3084697968778494, 0.20571326180688684, 0.023987472254914353, 0.03987804918163235, -0.19690012659342251, 0.2018077096046478, 0.14065724215174438, 0.09809483446540698, 0.019557024367964974, -0.06837694702754558]","[-0.26424598693847656, 0.20192106068134308, 0.16702108085155487, -0.03786417469382286, -0.10306121408939362, -0.010622149333357811, -0.15047506988048553, 0.039831917732954025, 0.18495947122573853, 0.1174388974905014]","[0.15351184062035844, -0.23408926148344897, -0.05881950287927026, -0.09313031959018112, -0.03609036570935706, 0.06669648215063836, -0.0452717783783905, -0.06951916034190651, -0.20191111476931145, 0.045358625490599214]"
22,N47847,football,Jets GM defends CEO's 'hopefully the team will actually show up' crack to fans,"Frankly, he deserves better than 1-6, general manager Joe Douglas said Tuesday.","Jets GM defends CEO's 'hopefully the team will actually show up' crack to fans Frankly, he deserves better than 1-6, general manager Joe Douglas said Tuesday.","[-0.07221835289809536, 0.07183120566532733, 0.009104217118897228, -0.024147166033328945, 0.0891014970078253, 0.03723099038875649, 0.008712610872236194, 0.003924699246212096, -0.011880523646107243, 0.03830544723820535]","[-0.0858202800154686, -0.1651226282119751, 0.14479376375675201, 0.024205274879932404, -0.17452730238437653, -0.18018144369125366, -0.08571335673332214, 0.08135592937469482, -0.230472594499588, 0.11464659869670868]","[0.09277605046493345, 0.07169373770861033, -0.11176090307617453, 0.1332954227472191, 0.011686945160643598, 0.11699872659136891, 0.04380067931584041, 0.1251538037877042, 0.01559484867248033, 0.18421825746381368]"
23,N11625,golf,The reinventing of Captain America is underway,"Patrick Reed went from Captain America to persona non grata. With his Presidents Cup nod, he's working his way back into the former role.","The reinventing of Captain America is underway Patrick Reed went from Captain America to persona non grata. With his Presidents Cup nod, he's working his way back into the former role.","[-0.04643947377987099, 0.002345137888535988, -0.010615349122432657, 0.019177976709342005, 0.061636841953685836, -0.06009132901049385, 0.08770102339760065, -0.058443056174219465, 0.018197961334984362, -0.022746836825900032]","[0.02429945021867752, -0.24581263959407806, 0.09163917601108551, 0.1605897843837738, 0.056224167346954346, -0.08689131587743759, -0.11278384923934937, 0.13760556280612946, -0.14875562489032745, -0.009892976842820644]","[0.08624201569955155, 0.22437646904696953, -0.009359480201572198, -0.05058193538091444, 0.17230793586027843, 0.019874187866059902, -0.10650023721250768, 0.15416554729904702, -0.011656521146716711, 0.04626605100396628]"
24,N1890,fighting,Ngannou Laughs At UFC's 'Funny' Games,"Former UFC heavyweight title contender, Francis Ngannou, took to social media to take a slight jab at UFC after the promotion gave the Alexander Volkov fight to Greg Hardy instead of him.","Ngannou Laughs At UFC's 'Funny' Games Former UFC heavyweight title contender, Francis Ngannou, took to social media to take a slight jab at UFC after the promotion gave the Alexander Volkov fight to Greg Hardy instead of him.","[-0.05927143785186856, -0.009638688702201907, -0.011575474313465495, -0.002009718756160626, 0.004949468650162249, -0.0016230677723296893, 0.07968313031022153, 0.09646319715190028, -0.09096358685910534, -0.03750889608872163]","[0.1518559604883194, -0.06807375699281693, -0.030485937371850014, 0.10869831591844559, 0.09989572316408157, -0.2888174057006836, -0.17607368528842926, -0.0337352380156517, -0.058850016444921494, -0.005562460515648127]","[-0.023976345262767314, 0.1568709686093135, 0.05214394705864855, -0.06367267921425093, -0.09611646880513607, 0.1169560900861536, -0.15162888317270956, 0.010604990891148103, -0.1223340840616356, 0.1058267575377873]"
25,N6054,baseball,Could a 'bombshell candidate' shake up Mets' managerial search?,"The timing of this report suggests more of a PR move for the Mets to drum up interest in the job, but don't dismiss the possibility of a legitimate surprise candidate emerging.","Could a 'bombshell candidate' shake up Mets' managerial search? The timing of this report suggests more of a PR move for the Mets to drum up interest in the job, but don't dismiss the possibility of a legitimate surprise candidate emerging.","[-0.0504793953043172, 0.03019329508863692, -0.04658104862188366, -0.017164813185505345, 0.057174043816159044, -0.027279121501678442, 0.0450045901774246, -0.009269779724941097, -0.10961622142693768, 0.04747029950036982]","[0.08060166984796524, -0.40175577998161316, 0.07239057123661041, 0.21033526957035065, -0.38395795226097107, 0.02816169150173664, 0.0021988891530781984, -0.1098179891705513, 0.004359314683824778, -0.0185390654951334]","[0.05718108485902658, 0.33095105024562577, -0.23373232009691494, 0.002166650778544999, 0.20093730578705424, 0.0038152459138510795, 0.19449367089228636, -0.08293356950166181, 0.0032405390111987626, 0.14545712380925652]"
