news_id,general_category,title,abstract,text,tfidf_vector,sbert_vector,openai_vector
N34447,football,"Miami, FSU to meet in matchup of teams badly needing a spark","CORAL GABLES, Fla. (AP)   The year was 1975. Bobby Bowden was a year away from arriving at Florida State. Howard Schnellenberger was four years from taking over at Miami. Both programs were a long way from becoming perennial national championship contenders. It was a long time ago. It also was the last time   excluding season-openers   that Miami and Florida State played with neither team having a winning record. That is, until Saturday. When...","Miami, FSU to meet in matchup of teams badly needing a spark CORAL GABLES, Fla. (AP)   The year was 1975. Bobby Bowden was a year away from arriving at Florida State. Howard Schnellenberger was four years from taking over at Miami. Both programs were a long way from becoming perennial national championship contenders. It was a long time ago. It also was the last time   excluding season-openers   that Miami and Florida State played with neither team having a winning record. That is, until Saturday. When...","[0.00927587900808396, -0.007320486175341347, -0.044499206737409494, -0.07321892177498368, -0.04014096281834803, -0.0070361595805360395, -0.15019736392456626, 0.013782475175862983, 0.009814047590679551, 0.2492419227760712]","[-0.12770424783229828, 0.16308212280273438, -0.024268053472042084, -0.0834771990776062, 0.2598098814487457, 0.11202654987573624, -0.16116099059581757, 0.13647513091564178, 0.07046768814325333, -0.020420214161276817]","[-0.16790898108054936, -0.04457974851797247, -0.028288861683878175, 0.1868377211292044, 0.10443308713016676, -0.022433971801008756, -0.10348272752154535, -0.20953030106030424, -0.05983082766182551, -0.07888053720909857]"
N8756,football,Texans must fix their pre-snap penalty woes quickly,"The Houston Texans offense is electric. When they step onto the field, superstars Deshaun Watson and DeAndre Hopkins are capable of scoring at will. The offense has a run game to sidekick the pass as well as an offensive line that can protect both aspects. However, the Texans' offense is not all peaches and cream. Houston leads the NFL in pre-snap penalties with 32. Left tackle Laremy Tunsil leads the NFL in false starts with eight, despite...","Texans must fix their pre-snap penalty woes quickly The Houston Texans offense is electric. When they step onto the field, superstars Deshaun Watson and DeAndre Hopkins are capable of scoring at will. The offense has a run game to sidekick the pass as well as an offensive line that can protect both aspects. However, the Texans' offense is not all peaches and cream. Houston leads the NFL in pre-snap penalties with 32. Left tackle Laremy Tunsil leads the NFL in false starts with eight, despite...","[-0.06424258860447024, -0.09634286065462432, 0.09551625686008752, 0.020059945840188293, -0.03461134137850206, -0.003928530826556345, -0.035112063661038764, 0.014189102141624796, 0.07440500859395559, -0.01243186785315335]","[-0.31164392828941345, -0.09112568944692612, 0.053159017115831375, -0.12771183252334595, 0.06318697333335876, -0.12364839762449265, -0.21018050611019135, -0.05599785968661308, -0.020692814141511917, -0.05573219805955887]","[-0.1978206672647079, -0.06901302217527545, -0.09160044619008771, 0.034949678466068494, 0.006394972112269571, 0.0018207407326414063, 0.11724213325434685, -0.15229478198883062, -0.033849135684770645, -0.14057033629060148]"
N35435,football,Swinney urges Clemson offense to flip script on 1st possession. It paid off,Dabo Swinney walked into last Tuesday's coaches meeting with a new script for Saturday's home game against Florida State.,Swinney urges Clemson offense to flip script on 1st possession. It paid off Dabo Swinney walked into last Tuesday's coaches meeting with a new script for Saturday's home game against Florida State.,"[-0.10356991589521186, -0.11447501267271674, 0.10086621446100802, 0.012588251421899822, -0.051029648049806246, 0.04091502669015777, -0.09719432369275123, 0.03685442166138316, 0.17837899461336404, 0.121578660437008]","[-0.2842867374420166, 0.03497913107275963, 0.11201408505439758, -0.1233142539858818, 0.19109341502189636, 0.02914854697883129, 0.03682078793644905, -0.13762860000133514, -0.026652242988348007, -0.03507307544350624]","[-0.134714761625294, -0.0973821130032973, -0.05181560594773018, 0.05030845443942348, 0.07369866697519185, 0.09309562357807645, 0.04656353845668787, -0.14172150927736274, -0.026244141036457464, -0.07871960124044057]"
N64052,football,"49ers' Kyle Shanahan reacts differently to lapses by Kendrick Bourne, Dante Pettis","Kendrick Bourne had three blatant drops during the preseason, but head coach Kyle Shanahan maintained the 49ers' wide receiver had reliable hands in August when asked about his latest dropped pass in the exhibition finale. ""I do consider Bourne to have some of the better hands on the team,"" Shanahan said. On Tuesday, a day after Bourne had two critical drops in a 27-24 overtime loss to the Seahawks, Shanahan's defense of Bourne reached another...","49ers' Kyle Shanahan reacts differently to lapses by Kendrick Bourne, Dante Pettis Kendrick Bourne had three blatant drops during the preseason, but head coach Kyle Shanahan maintained the 49ers' wide receiver had reliable hands in August when asked about his latest dropped pass in the exhibition finale. ""I do consider Bourne to have some of the better hands on the team,"" Shanahan said. On Tuesday, a day after Bourne had two critical drops in a 27-24 overtime loss to the Seahawks, Shanahan's defense of Bourne reached another...","[-0.026155175828923745, 0.005805603262889572, -0.013381041635873761, -0.014627133914874225, -0.021867955313922507, 0.033891336127945926, -0.03452477777286712, 0.012952764505135871, -0.0039515382906444175, -0.019226983764695484]","[-0.20080731809139252, -0.12227056920528412, 0.14250589907169342, -0.02821245789527893, 0.028344543650746346, -0.16404655575752258, -0.07492782920598984, -0.1556733250617981, 0.2047279179096222, -0.07353901863098145]","[-0.1925280357857544, 0.1675506634626201, 0.06333023072076467, 0.02943738130131086, -0.051827962355734725, -0.004311668917971115, 0.17402504214397652, -0.10159354806243308, 0.07676223340177078, -0.0738909818224901]"
N26821,football,NFL power rankings: How do Colts compare to other 5-4 teams?,An Indianapolis Colts loss to the Miami Dolphins isn't inspiring a lot of confidence in NFL power rankings lists,NFL power rankings: How do Colts compare to other 5-4 teams? An Indianapolis Colts loss to the Miami Dolphins isn't inspiring a lot of confidence in NFL power rankings lists,"[-0.028178505185540555, -0.007324174511690009, -0.01987890092105443, -0.00768114460643871, -0.0438605867019765, 0.025291008415663518, -0.03718886086493462, 0.003825737588449428, -0.004803832612741227, -0.06019658542093733]","[-0.27103763818740845, 0.11354874074459076, -0.07252294570207596, -0.14022599160671234, 0.10915557295084, -0.022032367065548897, -0.05682090297341347, 0.04279065504670143, 0.15425492823123932, -0.04195799306035042]","[-0.23272352153680015, -0.09152985318839824, -0.1116329544258782, 0.13007560790655548, 0.008380597055123071, -0.03774298460621844, 0.01369826715479609, -0.20531341738127848, 0.05534400541915126, -0.18215732193867046]"
N25995,football,"Boomer Esiason: Bengals, LSU quarterback Joe Burrow could be on collision course","Boomer Esiason: ""For the Bengals, this is about the future. And the way that Joe Burrow played ... I think he solidified his No. 1 overall ranking.""","Boomer Esiason: Bengals, LSU quarterback Joe Burrow could be on collision course Boomer Esiason: ""For the Bengals, this is about the future. And the way that Joe Burrow played ... I think he solidified his No. 1 overall ranking.""","[-0.003809764887595809, 0.0056388726301133795, 0.012108517293579533, 0.010862281695591608, -0.023623427145145294, 0.023690769597759696, -0.03866322032044431, 0.00857562959902321, -0.0008821373010598609, -0.03780039581874812]","[-0.15647374093532562, -0.10051939636468887, 0.15932555496692657, -0.23567916452884674, 0.062040600925683975, 0.04153076559305191, -0.05565671995282173, 0.02540159411728382, 0.22116468846797943, -0.031976792961359024]","[-0.08250785207331728, 0.08229735234974823, 0.008827404076433005, -0.057238711584047405, 0.07015900183566671, -0.014590391676994108, -0.06776782275091081, -0.28965932784591414, -0.0829136775354776, -0.09493544072895257]"
N37926,football,Gophers-Penn State most watched ABC noon-hour game in three years,"Before ESPN schedulers dismiss the University of Minnesota again from getting an invite to ""College GameDay,"" they may want to glance at this past weekend's numbers. ABC's broadcast of the Penn State-Gophers football game drew the network's highest noontime audience in nearly three seasons with an average of more than 6.7 million people tuning in. The last time ABC attracted that many eyeballs ...","Gophers-Penn State most watched ABC noon-hour game in three years Before ESPN schedulers dismiss the University of Minnesota again from getting an invite to ""College GameDay,"" they may want to glance at this past weekend's numbers. ABC's broadcast of the Penn State-Gophers football game drew the network's highest noontime audience in nearly three seasons with an average of more than 6.7 million people tuning in. The last time ABC attracted that many eyeballs ...","[-0.09476139162654633, -0.07472046370230195, 0.0645844902314293, -0.02540166900328072, -0.08802408281503253, 0.013233530229217676, -0.12055787130937388, 0.10988424758827646, 0.14981530284621497, 0.1151917026896143]","[-0.13400697708129883, 0.14255128800868988, -0.13810479640960693, -0.09729991853237152, 0.2143469899892807, 0.0424535796046257, -0.07067128270864487, 0.08234774321317673, -0.07973653823137283, 0.05889677628874779]","[-0.142359963846453, -0.05572027104147693, -0.13166838991644958, 0.16009630763763497, 0.2376529289434551, 0.15495048748051524, -0.03545300642716933, -0.013615575069159344, -0.09806816742552565, -0.13971805907161855]"
N56885,football,"Now Back With Patriots, Cody Kessler Is Exactly Where He Wants To Be",https://www.dailymotion.com/embed/video/x nvtlb autoPlay= FOXBORO Mass. -- Bye week Not for Cody Kessler. While many New England,"Now Back With Patriots, Cody Kessler Is Exactly Where He Wants To Be https://www.dailymotion.com/embed/video/x nvtlb autoPlay= FOXBORO Mass. -- Bye week Not for Cody Kessler. While many New England","[-0.12361644873206415, -0.05350345275388465, -0.1208267144046221, 0.024466743250508682, -0.21224861435590422, 0.11486502578455043, 0.2152873480787764, -0.4480672186297075, 0.05687104181883389, 0.005399832529246963]","[-0.24673713743686676, -0.046613603830337524, 0.13016371428966522, -0.013323397375643253, -0.025459298864006996, -0.17132990062236786, 0.010394275188446045, -0.08750457316637039, 0.16954785585403442, 0.04736964777112007]","[-0.18183823210637784, 0.046397584177708964, 0.10950073568810448, 0.027995628665831253, 0.003617036447644972, -0.0064063002443786364, 0.032698957933432735, -0.07065459026576082, 0.12353070544239764, -0.10293165495571052]"
N8285,football,"Report: Potential new USC AD told he cannot pursue Urban Meyer, could back out","USC supposedly has a deal in place with Cincinnati athletic director Mike Bohn to make him their next AD, but many expected an official announcement on Monday.","Report: Potential new USC AD told he cannot pursue Urban Meyer, could back out USC supposedly has a deal in place with Cincinnati athletic director Mike Bohn to make him their next AD, but many expected an official announcement on Monday.","[-0.0344176780495757, -0.0031049379613345357, -0.07037272849369826, -0.024543623726416997, -0.03744610353578487, 0.049377964969662035, -0.0939147714665427, -0.011242788031495718, -0.06754089172558247, -0.060010553802077565]","[-0.21478387713432312, -0.22610704600811005, 0.13617348670959473, -0.2709512412548065, 0.08637861907482147, 0.016449110582470894, -0.0015946521889418364, 0.2239014357328415, 0.11557182669639587, -0.04898818954825401]","[-0.0868778838225602, 0.13890923235580896, 0.08194604462119275, -0.15139910936005518, 0.28373740306952067, -0.1935919114824051, -0.02269568273046632, -0.035692267944779255, -0.12216770050345285, -0.06830795200013191]"
N54941,football,20 games that will help decide CFP championship,"As we head into the second half of the season, it looks as if we know the 10 or so teams that have any real shot at getting one of those coveted four College Football Playoff slots...","20 games that will help decide CFP championship As we head into the second half of the season, it looks as if we know the 10 or so teams that have any real shot at getting one of those coveted four College Football Playoff slots...","[0.025695865009122475, 0.001573401329287071, -0.05277008553965622, -0.026770937046523925, -0.10768465999765238, -0.043525748668283584, -0.1202861220353332, 0.047579161477273216, 0.03873405015077291, 0.20640672633683282]","[-0.12730933725833893, 0.25787052512168884, -0.05580224096775055, -0.17335698008537292, 0.2032264620065689, 0.19303931295871735, 0.07540126144886017, 0.16448991000652313, 0.028126871213316917, 0.0575021393597126]","[-0.0895905888319213, -0.12647956599358098, -0.09228239244886088, 0.10294532221123602, 0.11840529003664449, -0.013646678815261295, -0.18250449827951304, -0.2627585199754065, 0.0240948953645985, -0.1327171892369041]"
N41693,football,Bucs-Titans AfterMath: Tampa Bay is imploding. Can Tim Tebow help?,"When Breshad Perriman collided with Dare Ogunbowale on a third-and-goal run play Sunday, that's when you knew. That's when you knew this season was over. That's when you knew the Buccaneers were going backward, literally and figuratively. It was their Mark Sanchez Butt Fumble moment. Football's a hard game. It's even harder when teammates tackle each other. Eight weeks into the season, the ...","Bucs-Titans AfterMath: Tampa Bay is imploding. Can Tim Tebow help? When Breshad Perriman collided with Dare Ogunbowale on a third-and-goal run play Sunday, that's when you knew. That's when you knew this season was over. That's when you knew the Buccaneers were going backward, literally and figuratively. It was their Mark Sanchez Butt Fumble moment. Football's a hard game. It's even harder when teammates tackle each other. Eight weeks into the season, the ...","[-0.06196063171213597, -0.06620997911414903, 0.04885484889342795, -0.007614198925042058, -0.0736539078971271, 0.003498980712366832, -0.015945555864346782, 0.040240307967624, 0.0846485669356725, 0.0923080931662604]","[-0.31442660093307495, 0.07634418457746506, 0.028639674186706543, -0.08603997528553009, 0.15708456933498383, -0.0370287261903286, -0.1048099622130394, -0.16429241001605988, 0.05088360235095024, -0.037807099521160126]","[-0.26822964888954604, 0.021818891650803897, 0.03496812554452193, 0.1333134803890111, 0.0004225240709418487, 0.10307711092847925, 0.1530245779477703, -0.08764286851109739, 0.04740836040735945, -0.1475998488303166]"
N12517,football,Jets WR Quincy Enunwa blasts team over fine for missing neck rehab,Enunwa missed all of the 2017 season due to a neck injury and is out for this season after re-injuring his neck.,Jets WR Quincy Enunwa blasts team over fine for missing neck rehab Enunwa missed all of the 2017 season due to a neck injury and is out for this season after re-injuring his neck.,"[-0.023037316887116733, -0.029846192799205078, 0.011982378379991719, -0.04573286452748055, -0.0459500258670282, 0.03642272784725212, -0.027743191128009867, 0.0057337922751168, 0.02190374259047144, 0.008138838513968584]","[-0.1680229902267456, -0.13513274490833282, 0.10779563337564468, -0.03867080807685852, -0.006778332404792309, -0.13891924917697906, -0.08316955715417862, -0.1778080016374588, 0.10591506958007812, 0.019371746107935905]","[-0.1745036699734367, 0.1514539952604662, 0.09898292101033777, 0.014534756018164103, 0.04909569965533877, 0.0017239318510340448, 0.3072223702793929, 0.015263925600800754, -0.0013968512083695041, 0.05306602924244417]"
N51159,football,"Jarren Williams Is Really, Really Good",Can He Become Miami's Next Great QB?,"Jarren Williams Is Really, Really Good Can He Become Miami's Next Great QB?","[-0.025138835666655545, 0.009619046862164415, -0.03400410785473269, -0.019282001801131415, -0.004047669609505661, 0.041307569369024015, -0.04288823173250503, 0.04655313266512666, -0.013721130874405242, 0.022033847871331926]","[-0.09597914665937424, -0.20188339054584503, 0.10548318922519684, -0.0514163114130497, -0.013200168497860432, -0.0265700351446867, -0.07343807071447372, 0.0008066938607953489, 0.43465855717658997, 0.1604325920343399]","[-0.08556284000318776, 0.07510200198609308, -0.08204846185478908, -0.008193507405943032, 0.04776624358376257, -0.041552051682675166, -0.04526200952976181, -0.19746542382314125, -0.04157228540230446, 0.10403498662135524]"
N21639,football,CBS reporter's criticism of Bengals for not trading A.J. Green turns sarcastic,The Bengals had hoped that A.J. Green would be ready to play as they emerged from their bye week.,CBS reporter's criticism of Bengals for not trading A.J. Green turns sarcastic The Bengals had hoped that A.J. Green would be ready to play as they emerged from their bye week.,"[-0.04314576527027246, -0.010118059575232046, 0.022413695762492948, -0.019010447672313278, -0.03833852362572091, 0.008215347653019239, -0.004943592435304818, 0.017430912632248993, -0.00021000141881277152, -0.08888660097031136]","[-0.18741647899150848, -0.23863579332828522, 0.08461540192365646, -0.1992691457271576, -0.08854439109563828, -0.08616206049919128, -0.08299849927425385, -0.05393495410680771, 0.008848671801388264, 0.08875437825918198]","[-0.18132759999598996, 0.08799325593104913, 0.010514563471192001, -0.08753152248075398, -0.01985629007829399, -0.04620817586557322, 0.19442588076617306, -0.23110299475512466, 0.012652044646323158, -0.1838108436799103]"
N51413,football,"Leonard Fournette, Jags' locker-room share their thoughts towards Jalen Ramsey trade","The Jags locker-room will miss Jalen Ramsey, but understand they have to move on.","Leonard Fournette, Jags' locker-room share their thoughts towards Jalen Ramsey trade The Jags locker-room will miss Jalen Ramsey, but understand they have to move on.","[-0.028548826633001102, -0.002420929992654, -0.029960990771945084, -0.016572817052845922, -0.03164166702490862, 0.011635434408273585, -0.031439537789224446, -0.01932910452413509, -0.04036894488693022, -0.03528163920994724]","[-0.24590875208377838, -0.1889238804578781, 0.15877731144428253, -0.07386599481105804, -0.0516824796795845, -0.06056733429431915, -0.07838672399520874, 0.06522874534130096, 0.2342376857995987, 0.11373667418956757]","[-0.1486968782477292, 0.12941297898504672, 0.09700652757393409, -0.07424446472251486, 0.04213863768721101, -0.07584727259542776, 0.08849237191554055, -0.16671381794507106, 0.07040781828643569, 0.02523065377749788]"
N11194,football,Washington will look to get Terry McLaurin more active in the offense,"It sounds like you can expect to see much more of rookie wide receiver Terry McLaurin this weekend against the New York Jets. You can probably expect to see more of all Redskins receivers for that matter. When talking to the media on Thursday afternoon, Washington coach Bill Callahan talked about how the team went about trying to solve their offensive woes during the bye week, and one of the top solutions they came up with was getting the...","Washington will look to get Terry McLaurin more active in the offense It sounds like you can expect to see much more of rookie wide receiver Terry McLaurin this weekend against the New York Jets. You can probably expect to see more of all Redskins receivers for that matter. When talking to the media on Thursday afternoon, Washington coach Bill Callahan talked about how the team went about trying to solve their offensive woes during the bye week, and one of the top solutions they came up with was getting the...","[-0.05817825647124068, -0.07791745348353836, 0.030277032132453714, -0.023507133751068353, -0.04529764373534171, 0.05404960638760228, -0.12781309800096927, -0.05745641339616457, -0.0351337555083897, -0.023936936268530825]","[-0.23411159217357635, -0.12570054829120636, 0.08878114074468613, 0.0653306171298027, 0.009676184505224228, -0.12678323686122894, -0.012292162515223026, 0.029637474566698074, 0.20177748799324036, 0.085640549659729]","[-0.2140196340361481, 0.04446454536119921, 0.03514791979235554, -0.018737113130211692, 0.04862132399024669, -0.0029406749862845205, 0.011764131665910098, -0.06001591999764161, 0.007981697135512075, -0.07403469827690178]"
